job_vacancy,experience,location,college,skill1,skill2,skill3,skill4,skill5,level1,level2,level3,level4,level5,employed
32,23,48,89,61,66,61,44,10,3,5,5,5,3,2
30,25,55,37,3,55,41,46,13,5,1,0,1,4,1
69,35,81,9,67,75,9,24,92,2,2,4,1,5,2
15,2,87,44,43,88,67,33,1,1,1,4,2,4,1
91,36,20,89,6,44,64,34,64,4,2,4,1,0,1
75,33,4,20,75,70,71,26,21,5,3,3,0,1,2
10,32,48,17,66,61,73,82,32,1,2,0,1,4,2
91,40,50,19,27,18,26,83,25,2,3,5,1,0,2
45,26,33,72,95,56,5,98,46,3,4,3,4,3,2
90,9,39,78,81,45,74,67,40,1,4,5,1,1,2
60,14,25,13,55,62,35,2,20,2,0,0,1,3,1
23,26,70,43,78,41,53,71,23,4,5,4,1,3,2
84,4,39,49,42,53,54,49,89,5,2,1,3,5,1
49,28,9,40,62,92,20,1,51,5,5,4,5,0,1
17,22,94,18,24,23,24,42,43,5,1,4,3,1,2
46,24,80,78,35,69,58,27,58,5,3,2,0,4,2
42,10,0,89,24,68,49,26,98,4,3,4,3,2,1
15,14,31,81,14,74,62,52,46,4,4,1,4,3,1
89,1,82,50,29,59,86,41,44,5,3,5,3,3,1
39,19,12,62,16,4,15,41,64,5,0,2,5,5,2
45,21,91,1,64,35,26,18,11,2,1,2,1,0,1
31,39,83,90,57,92,46,10,48,2,2,4,0,5,2
35,32,46,37,77,81,75,68,23,3,5,4,3,0,1
28,29,22,87,22,55,67,31,7,0,2,4,4,3,2
80,28,28,34,47,97,77,6,67,4,5,1,3,4,2
72,17,89,99,68,0,95,9,59,0,2,2,0,5,1
89,27,41,13,44,23,12,11,39,0,5,5,2,3,1
74,26,19,73,11,91,83,29,66,0,5,5,0,4,1
52,8,38,47,98,14,46,8,89,0,2,5,3,2,2
72,27,70,26,95,76,1,28,46,5,4,5,0,0,2
55,30,98,34,80,9,17,43,42,1,1,1,5,3,2
2,7,78,70,96,74,52,96,42,2,5,2,0,2,2
10,29,79,44,27,37,11,10,62,1,5,5,1,0,1
62,13,0,21,4,26,92,1,63,4,4,0,0,0,1
99,31,55,38,37,15,66,24,34,5,3,1,1,4,1
48,2,32,99,91,89,75,90,88,2,0,4,3,4,2
1,11,84,76,2,23,58,47,50,1,4,1,2,1,2
69,22,35,25,3,79,15,24,15,3,1,2,2,4,2
63,32,38,19,56,77,45,88,73,1,0,4,2,1,1
94,14,69,18,72,69,30,10,88,3,1,3,0,4,2
88,17,64,5,63,83,85,57,57,3,4,0,2,2,2
68,5,68,29,94,60,79,17,8,5,4,5,1,0,2
10,38,69,34,99,28,30,85,88,5,0,1,5,0,1
90,5,4,31,83,97,98,29,36,0,0,2,2,1,2
96,7,16,3,94,19,88,20,16,1,5,0,5,1,2
1,19,12,71,33,80,78,65,78,3,4,1,1,5,2
23,8,93,32,8,44,96,74,76,3,2,2,4,0,2
37,14,22,23,56,4,39,24,3,1,4,4,5,3,1
38,25,25,26,72,28,22,4,48,3,4,0,4,2,1
8,26,67,37,97,91,89,83,34,1,5,0,3,1,1
92,6,69,76,36,86,0,74,30,5,2,5,2,3,1
57,28,53,81,51,38,95,44,35,0,4,2,5,4,2
98,37,22,48,52,14,94,34,11,2,0,3,5,2,2
95,11,2,94,76,28,90,80,23,5,5,1,3,4,1
56,14,32,21,22,49,64,20,5,0,0,1,3,1,1
84,4,36,28,36,76,87,4,66,2,0,3,3,3,2
84,3,60,69,82,46,18,48,55,0,0,3,0,1,1
26,12,74,57,0,67,92,46,24,5,0,3,1,5,1
54,30,63,2,90,73,23,18,5,5,0,4,2,3,2
40,9,61,64,61,77,7,48,63,1,0,3,5,4,1
72,1,48,45,75,33,19,36,13,0,1,3,0,0,1
5,13,91,2,81,9,48,21,59,3,1,5,5,4,2
1,39,77,4,86,19,13,17,64,0,0,4,0,0,2
64,22,4,79,41,59,81,48,17,1,2,3,0,1,1
84,16,4,16,37,16,14,83,17,4,1,0,3,3,2
28,35,91,58,92,2,89,82,46,5,2,5,2,1,1
64,23,27,69,1,7,66,13,79,0,4,4,5,2,1
16,21,95,92,54,71,28,71,22,4,5,0,3,3,1
62,16,62,51,88,28,89,65,52,5,4,2,4,5,1
57,17,92,15,66,6,97,48,30,4,1,1,2,1,2
36,38,35,62,97,42,73,30,50,5,2,2,5,3,2
12,3,5,80,99,42,59,69,5,4,3,2,3,4,1
51,0,63,14,55,37,31,0,48,5,1,2,2,4,2
42,6,19,23,61,60,78,55,16,4,4,0,2,1,1
91,34,0,78,19,52,87,39,86,0,5,0,2,3,2
94,19,75,77,75,21,83,30,90,0,1,5,1,0,1
49,10,20,50,92,40,92,55,8,4,4,0,2,3,1
74,18,28,85,52,1,0,96,16,1,3,4,0,4,1
53,14,83,12,15,57,57,6,90,5,5,2,2,2,2
68,26,80,16,67,95,67,77,54,2,0,2,1,4,1
46,26,14,63,29,47,25,75,18,0,2,0,1,3,2
39,3,4,29,99,47,75,47,30,0,4,2,3,0,2
35,34,61,84,69,70,79,16,92,1,3,1,4,2,2
46,1,33,56,39,10,54,2,19,2,4,5,0,3,1
48,24,68,69,53,84,46,52,47,5,4,1,5,0,2
62,29,87,85,1,45,82,20,50,0,2,5,3,2,2
34,20,44,58,31,76,38,82,26,5,2,0,2,3,2
80,35,58,98,9,48,57,90,60,0,2,5,4,1,2
25,30,3,13,17,32,11,26,17,3,2,0,4,1,2
83,36,17,68,19,66,78,72,42,5,1,0,3,1,2
68,3,60,60,85,26,36,6,6,5,4,1,4,5,2
60,22,69,11,75,87,60,3,59,5,1,0,5,1,2
28,0,20,19,43,85,35,11,65,1,0,1,0,4,2
98,10,95,69,79,17,2,21,13,0,3,0,4,4,1
34,30,19,99,3,77,45,87,15,4,2,5,0,0,1
79,19,76,58,77,63,53,63,77,4,3,3,4,2,1
46,9,71,90,74,11,81,20,35,4,1,3,0,0,2
36,16,47,58,98,47,68,48,92,4,5,4,0,2,2
31,23,44,86,20,86,14,0,95,2,2,3,5,2,1
12,13,26,70,29,30,43,17,45,2,0,3,1,5,1
72,14,23,58,76,42,10,86,78,4,0,4,0,0,1
99,8,60,83,26,11,21,52,56,1,4,4,5,0,1
52,7,74,39,23,30,34,83,92,1,5,5,5,0,2
30,36,30,47,79,26,9,19,48,4,1,5,3,3,2
23,19,89,79,85,70,88,72,11,5,0,4,2,1,1
58,32,97,48,28,29,89,73,36,0,2,0,4,1,1
97,19,49,95,80,39,55,22,29,3,3,5,1,0,2
87,8,28,79,39,64,0,94,98,3,1,1,0,5,2
91,2,69,15,22,30,14,48,67,4,0,2,2,1,2
27,5,74,66,37,88,68,6,17,2,3,0,1,0,1
83,1,67,13,15,52,53,53,37,4,4,5,1,5,1
49,24,19,5,56,61,41,88,19,0,3,4,5,0,2
22,30,11,20,92,3,48,80,84,4,4,3,4,5,1
89,8,26,64,99,16,58,58,8,4,4,4,3,1,2
98,19,22,53,1,21,46,21,38,4,1,4,4,2,2
60,36,55,36,15,76,78,34,28,4,0,3,4,4,2
11,0,36,28,87,60,23,53,21,1,4,5,3,3,1
90,19,57,60,46,58,56,69,68,2,3,3,2,2,1
82,10,54,67,16,47,68,52,11,2,2,5,3,4,2
18,15,83,2,91,3,63,11,90,4,4,0,1,0,1
94,35,48,36,81,18,78,71,52,4,3,5,3,3,2
57,11,71,49,59,4,49,59,2,0,4,4,2,2,1
36,11,68,2,28,21,17,94,26,1,1,5,2,5,1
40,3,24,93,76,46,29,13,72,0,3,3,3,5,1
49,8,40,89,89,82,16,31,2,0,2,2,3,5,2
33,1,52,63,43,77,99,35,71,5,4,5,3,3,2
58,31,21,16,58,90,13,6,53,0,0,4,0,4,1
44,38,13,88,58,25,97,62,59,5,2,4,1,3,2
92,21,86,13,65,21,77,41,79,3,1,1,0,5,2
9,38,46,8,86,93,6,41,90,0,0,3,2,3,1
74,12,65,69,47,73,11,94,1,3,1,0,0,4,1
23,6,9,57,94,75,25,72,9,0,2,0,3,3,2
22,28,22,64,48,84,62,23,17,1,3,4,3,5,2
49,5,11,22,23,43,65,53,40,2,4,0,3,0,1
81,16,17,55,83,71,1,69,8,2,1,3,0,1,2
67,22,70,38,71,85,13,61,76,4,0,1,1,1,2
77,24,53,7,95,48,27,91,68,1,3,0,4,0,1
34,10,18,65,62,51,87,78,87,5,5,4,5,2,1
12,38,89,3,24,79,23,87,15,4,4,3,4,4,2
85,40,9,38,15,85,22,62,91,3,2,3,1,0,2
78,22,89,37,15,34,54,8,69,5,0,3,1,2,2
5,5,75,66,30,61,1,2,20,4,0,0,1,2,2
82,10,51,93,76,37,78,3,5,3,4,2,3,5,2
35,6,75,1,97,32,47,73,83,4,5,0,2,1,2
29,35,86,48,73,34,48,40,76,3,4,5,2,2,2
71,25,2,77,53,90,53,54,20,5,1,0,2,4,2
36,12,75,84,45,63,63,67,97,2,2,5,2,1,2
65,1,86,91,54,0,84,50,46,5,5,3,2,4,1
97,11,76,16,78,15,55,79,9,2,2,5,3,2,2
94,33,47,6,85,30,46,65,47,1,0,4,4,1,2
86,39,57,34,16,69,32,79,13,1,2,4,3,4,2
43,39,59,96,38,57,48,95,18,2,4,2,5,2,2
62,35,58,36,89,7,34,23,20,1,2,1,3,4,2
41,27,49,62,21,7,47,87,29,0,5,0,1,4,1
39,0,2,74,93,91,58,21,55,4,2,0,1,2,1
3,8,51,54,31,63,48,48,74,3,1,4,1,5,1
75,30,9,72,60,45,37,51,72,0,5,5,3,4,2
18,39,30,36,84,86,34,51,73,0,4,4,5,4,1
23,34,63,25,67,43,74,49,27,3,1,2,4,5,1
29,9,61,87,96,33,52,20,65,4,1,5,0,5,2
95,32,42,1,49,21,0,71,91,4,3,4,5,0,2
25,29,75,78,50,22,28,3,54,5,3,0,0,1,2
14,23,91,80,61,30,62,50,71,0,2,4,3,5,1
21,39,45,36,73,45,99,83,35,5,2,3,0,1,1
24,19,62,12,49,33,63,50,29,3,5,3,3,4,1
61,37,53,70,12,50,8,32,2,0,5,1,2,3,2
14,32,91,32,77,25,4,26,28,2,2,4,0,3,2
30,5,55,4,5,77,25,2,26,3,0,3,0,2,2
34,26,92,67,63,69,25,41,67,2,5,1,1,1,2
16,37,20,99,15,87,22,6,44,2,0,2,0,0,1
59,0,74,96,14,77,12,43,22,5,0,0,3,5,1
46,30,4,91,8,18,31,81,46,4,2,2,0,2,1
16,21,42,85,5,49,92,37,27,2,1,5,1,4,2
41,14,43,97,74,7,1,54,25,3,3,5,0,4,1
37,15,33,60,98,55,73,41,12,2,0,0,2,0,1
40,39,66,32,96,80,3,63,82,4,0,1,2,5,2
10,0,64,86,85,28,9,83,33,3,2,4,4,0,1
69,14,93,93,75,90,17,75,29,2,3,1,4,2,2
67,5,32,3,39,25,29,88,39,3,0,5,0,2,2
32,10,65,78,46,14,48,57,9,5,4,5,0,0,1
85,11,5,99,68,1,52,23,10,4,2,0,4,4,1
20,34,50,97,64,43,16,38,29,4,0,4,2,2,2
21,17,65,47,57,72,18,25,45,3,3,2,2,0,1
27,4,15,97,63,98,8,88,99,3,3,0,4,5,1
61,24,1,20,30,35,70,87,41,4,1,0,1,5,2
17,11,23,59,22,52,53,22,27,2,5,2,1,1,1
92,22,4,63,64,92,24,48,45,3,3,5,1,3,1
21,7,91,4,72,19,48,76,34,2,3,4,5,1,2
5,13,49,55,36,97,10,8,2,5,0,0,3,4,2
25,28,3,61,22,48,22,1,24,3,2,5,2,4,2
44,19,83,27,61,37,5,47,54,1,4,4,5,1,1
69,35,67,85,16,40,16,15,39,1,3,2,4,3,2
58,13,35,91,82,27,53,80,28,3,5,5,4,0,1
30,34,7,98,23,33,11,91,79,1,4,4,4,4,1
33,33,55,86,74,73,4,3,40,1,1,1,4,0,2
39,31,94,49,80,85,42,50,27,3,1,4,5,2,2
52,3,57,17,58,3,49,38,46,2,5,5,5,2,2
44,11,52,73,14,71,94,15,3,1,0,4,2,1,1
40,38,17,75,15,35,66,27,11,1,4,3,5,2,2
18,32,86,74,47,92,57,17,74,0,3,4,4,1,2
70,27,52,90,12,69,85,6,65,4,4,2,3,3,1
93,33,65,37,4,46,68,23,80,2,1,1,0,4,2
52,32,45,99,24,77,45,78,15,1,2,0,1,1,1
23,31,95,61,18,82,26,86,91,5,4,2,5,1,2
9,16,97,95,7,26,29,66,66,2,3,1,2,1,2
44,18,58,26,83,85,35,78,49,5,3,4,2,2,1
15,31,80,83,43,6,89,76,74,5,5,1,5,0,2
20,23,49,38,52,97,91,24,16,4,3,1,3,2,2
10,0,91,34,94,2,20,40,45,3,2,0,5,1,2
77,38,12,41,79,55,1,89,62,5,5,3,4,3,1
1,2,28,96,38,84,70,47,37,1,5,1,4,4,2
22,9,46,36,78,69,7,54,42,5,2,5,4,0,2
81,30,78,86,0,7,9,84,44,1,5,2,4,5,1
15,16,4,91,98,70,91,3,75,3,5,1,1,0,1
73,26,58,37,70,85,35,37,5,3,2,4,3,2,2
13,27,53,90,80,32,67,3,50,1,0,4,0,5,2
55,16,70,51,76,80,15,49,95,2,5,4,2,2,1
35,6,24,2,29,10,32,80,53,0,3,2,4,2,2
42,20,61,87,91,47,94,94,82,1,0,3,2,0,2
43,5,44,7,86,56,39,56,14,2,0,2,2,2,1
37,39,94,62,38,54,93,50,3,0,4,2,4,1,1
89,12,62,27,18,45,54,22,14,4,2,0,1,2,2
48,33,7,39,27,59,57,32,39,1,3,5,2,1,1
90,22,30,29,30,75,9,84,35,3,3,1,2,3,2
74,32,81,17,81,21,85,64,95,5,5,2,4,2,2
3,27,19,72,19,29,28,95,16,2,0,3,5,1,1
14,32,79,87,8,98,8,18,75,4,1,1,1,0,1
27,2,18,11,85,40,46,72,64,2,0,4,2,4,1
73,31,62,69,1,55,33,44,78,0,5,1,0,2,2
79,15,70,95,47,16,27,72,99,3,3,5,4,5,1
64,11,76,37,45,57,50,2,49,2,4,0,4,1,1
3,5,16,52,18,48,22,44,94,4,4,4,2,0,2
38,26,77,51,32,3,39,42,14,3,0,4,0,5,2
96,25,10,9,52,50,60,79,18,0,3,5,4,2,2
98,10,35,23,26,64,95,50,22,1,3,1,3,4,1
87,38,22,91,67,57,35,95,10,4,4,0,1,1,2
85,8,37,17,93,9,22,26,69,3,3,3,3,1,2
6,35,19,95,86,80,29,74,38,3,4,1,0,5,2
34,37,38,67,53,5,17,32,23,0,5,5,2,4,1
48,29,49,6,9,89,29,19,6,0,4,4,4,4,2
58,24,23,52,47,69,58,77,53,1,0,1,0,2,2
72,14,9,72,56,1,42,10,43,4,1,3,0,3,1
24,11,73,42,40,41,7,21,86,1,5,4,4,1,1
95,15,25,85,13,15,68,50,31,5,1,4,4,5,2
18,20,77,59,0,66,65,33,71,2,4,1,4,5,1
44,28,52,4,17,7,82,57,80,3,2,5,4,1,2
55,18,65,88,42,17,61,16,12,5,4,5,3,2,1
6,37,81,63,60,42,34,72,40,5,2,2,0,5,1
35,37,25,25,50,39,42,64,28,3,1,1,4,4,2
42,21,52,63,29,16,18,96,57,0,0,1,2,4,2
41,2,99,54,66,22,14,92,93,2,3,3,3,4,2
95,13,13,46,8,72,22,82,31,5,1,5,5,3,2
53,38,39,86,82,17,49,31,7,3,0,5,1,1,1
99,11,17,11,40,29,17,46,75,5,0,4,5,0,1
22,28,31,81,18,43,60,47,26,3,0,1,0,3,2
69,19,88,93,21,27,97,64,35,1,5,3,3,5,1
16,2,15,6,53,21,23,49,52,1,0,3,5,4,1
84,21,26,17,83,11,73,24,46,0,0,3,3,1,2
72,13,10,79,58,52,72,82,88,3,3,1,0,3,1
72,1,48,39,91,20,46,91,61,2,1,2,2,4,2
3,14,50,72,0,9,53,36,49,4,2,0,1,5,2
19,1,45,53,72,51,18,74,16,3,4,2,0,0,2
35,16,54,20,21,66,94,79,64,5,1,0,3,5,2
12,29,54,8,79,82,18,47,5,0,0,3,0,2,1
74,9,81,43,40,71,21,76,67,2,1,4,3,3,2
60,24,66,59,42,96,44,81,32,2,2,4,4,2,2
46,20,12,88,76,29,15,79,98,5,3,0,4,1,2
38,17,47,23,44,85,52,74,79,4,3,5,5,5,1
44,35,41,87,53,10,24,54,81,1,0,1,2,0,1
45,8,38,86,84,57,25,96,88,4,4,2,5,2,2
97,15,57,50,69,12,40,91,30,3,5,3,5,1,1
72,14,9,98,10,96,3,78,52,2,0,4,3,4,1
38,21,70,86,84,74,9,13,70,1,4,2,4,2,2
95,6,33,77,23,40,14,43,15,0,2,2,4,3,2
56,27,30,63,27,71,22,68,87,3,3,5,2,0,1
22,15,43,70,10,28,46,7,20,2,5,3,3,0,1
97,21,2,70,41,13,70,16,51,2,1,1,2,5,1
47,12,91,74,4,4,84,9,57,2,5,5,3,5,2
32,25,15,17,74,38,43,25,0,2,1,1,3,3,2
79,39,53,93,6,97,94,11,69,0,1,4,2,2,1
1,2,47,8,9,53,91,53,57,1,0,1,3,2,2
98,36,85,63,58,21,89,37,8,1,4,5,2,4,1
72,14,47,69,43,38,20,42,80,3,2,4,4,5,1
75,19,26,79,11,76,61,44,61,3,4,1,4,2,1
70,38,32,68,32,8,91,98,25,0,4,1,1,4,1
20,1,75,73,10,79,50,46,26,3,0,0,3,1,2
57,13,17,87,94,50,13,21,88,2,0,4,3,3,2
23,9,83,40,31,66,5,62,20,0,0,3,4,3,1
13,13,63,94,25,1,12,6,77,1,1,2,5,2,2
64,8,92,98,94,24,79,88,9,1,2,4,0,5,1
37,15,82,61,95,83,83,30,8,1,4,5,3,2,1
38,27,75,87,51,74,41,90,78,2,1,3,2,5,2
64,13,94,85,30,15,95,48,77,2,4,2,3,1,1
32,27,24,93,19,94,57,43,49,1,4,3,4,4,2
37,2,88,99,81,77,52,43,14,0,0,3,2,5,2
97,30,69,28,81,46,83,18,2,0,3,3,3,4,1
71,12,70,26,12,93,52,47,54,0,5,1,5,5,2
21,37,63,2,26,19,12,53,83,5,2,2,3,5,1
37,33,87,36,77,64,92,86,40,5,0,4,0,3,1
57,18,46,41,83,40,4,93,42,3,1,1,1,1,1
43,7,32,36,29,42,32,73,84,2,3,3,4,5,1
83,34,98,3,44,40,85,0,36,2,2,2,3,5,2
19,6,54,49,28,7,4,64,14,3,4,0,5,0,2
25,14,13,85,0,0,47,69,91,2,2,1,0,5,1
10,9,5,77,53,28,25,81,30,1,5,2,5,5,1
26,20,22,35,28,57,7,69,18,0,4,1,4,5,2
60,24,36,84,7,54,49,7,25,2,5,1,5,1,1
54,39,54,11,76,7,79,58,91,5,4,2,1,4,1
9,7,45,66,43,48,77,34,27,2,1,0,4,2,2
60,36,33,89,25,69,35,36,51,3,2,0,2,4,1
9,1,47,34,12,6,88,45,20,2,1,1,1,4,2
76,6,22,92,50,31,73,51,50,5,5,3,3,2,2
48,16,58,56,8,46,61,92,52,0,3,2,5,4,2
74,13,83,99,86,77,92,56,85,3,2,4,3,3,2
88,38,70,25,1,84,13,15,55,2,2,1,2,2,2
24,31,84,32,50,82,11,72,54,2,3,1,5,5,2
66,14,65,81,81,24,87,14,97,1,2,2,1,4,1
64,8,84,73,74,29,96,49,35,2,5,3,4,2,1
85,23,95,18,10,19,43,67,76,4,0,0,3,5,1
70,31,50,85,93,51,73,20,6,4,4,0,3,3,2
26,32,35,76,42,20,69,28,31,0,3,3,3,4,1
33,26,40,87,9,3,40,40,64,5,2,0,1,2,1
13,20,99,94,59,36,88,77,47,0,0,2,3,5,2
10,1,21,56,51,90,17,52,9,4,3,0,4,2,1
92,25,63,84,12,22,80,96,21,5,3,3,4,5,1
61,14,54,85,47,53,64,35,20,1,0,2,1,3,2
61,9,3,96,73,8,31,89,85,5,2,0,3,2,2
65,17,43,69,80,39,81,27,45,4,2,4,1,1,1
97,40,19,90,81,75,81,12,35,4,0,5,5,2,1
17,37,76,11,40,98,97,7,65,0,5,0,0,4,1
27,32,59,78,31,29,77,87,21,5,1,2,4,3,2
9,3,59,82,84,22,86,89,69,2,0,0,1,2,2
65,31,9,59,35,83,95,98,83,2,1,1,4,1,1
68,17,29,83,82,94,41,42,85,0,2,3,4,3,1
79,2,84,82,77,4,21,67,6,2,4,5,1,2,1
10,29,94,51,35,24,77,30,65,5,2,4,1,0,1
64,36,15,84,26,67,31,8,21,0,5,0,4,4,1
0,0,82,64,77,54,75,44,54,3,0,5,5,5,1
21,6,6,30,73,18,64,64,31,0,4,4,1,0,2
12,2,19,80,5,52,96,29,24,4,2,0,0,3,1
61,13,30,52,91,87,28,26,36,1,0,1,3,2,2
38,7,61,50,31,75,72,94,70,0,4,3,3,2,2
81,7,51,99,62,51,50,66,37,0,0,3,0,4,1
78,6,50,72,34,57,68,29,25,1,2,4,1,4,2
2,24,17,40,22,20,78,96,77,4,5,4,4,1,2
52,21,93,23,14,91,49,64,99,0,5,3,1,2,1
3,3,86,78,73,16,22,75,81,2,2,5,4,4,1
29,8,94,78,0,81,8,99,45,2,5,1,2,2,2
40,18,23,93,31,38,9,57,59,3,1,5,4,5,1
20,27,7,40,15,78,93,9,30,3,3,2,1,1,2
67,35,6,49,34,35,98,26,29,0,0,1,1,2,2
79,9,20,86,86,54,67,48,83,3,2,0,2,2,2
34,3,53,43,82,42,85,37,80,4,3,4,4,2,2
47,33,33,53,87,27,70,89,40,2,5,0,2,4,2
63,22,71,23,88,66,21,77,87,4,1,1,2,2,1
34,34,89,95,93,88,80,12,17,1,1,1,2,4,2
58,28,39,7,10,11,98,81,46,4,0,0,3,1,1
21,36,20,72,11,86,59,39,65,5,0,2,1,2,1
83,40,32,70,10,54,56,6,27,5,0,4,3,1,2
0,37,18,67,27,27,80,39,61,0,2,0,5,3,2
79,23,50,2,36,93,64,24,23,3,3,1,3,2,2
